n03252637,1285,"dry wall, dry-stone wall",
n02771547,229,backstop,
n03895038,1,party wall,
n04082710,1276,retaining wall,
n04604644,1126,"worm fence, snake fence, snake-rail fence, Virginia fence",
n03511175,1221,"hedge, hedgerow",
n04586072,699,"windbreak, shelterbelt",
n04006330,256,privet hedge,
n04571686,647,weir,
n04547592,1018,wall,
n04326547,1289,stone wall,
n03000134,1523,chainlink fence,X
n03327234,1359,"fence, fencing",X
n04046974,1404,rail fence,X
n03930313,1587,"picket fence, paling",X